,Unnamed: 0,owner_type,district,street,price,area,price_per_sqm,room_n,floor_ratio,floor_n,floor_total,year,nearest_kindergarten,nearest_school,nearest_shop,nearest_station,crime_last_month,h_aeroterminis,h_centrinis,h_centrinis kolektorinis,h_dujinis,h_elektra,h_geoterminis,h_kietu kuru,h_kita,b_Blokinis,b_Karkasinis,b_Kita,b_Medinis,b_Monolitinis,b_Mūrinis,b_Rąstinis,age,location,latitude,tier,longitude,t1,t2,t3,t4,t5,lon_scaled,lat_scaled,equip_state,equip_state_encoded
2261,2261,private, Žirmūnai, Minties g.,68000,44.13,1540.9018808067074,2,0.4,2,5,1966,130.0,230.0,390.0,210.0,11.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,55,"Vilnius, Minties g.",54.70571429999999,tier2,25.304288800000002,0.0,1.0,0.0,0.0,0.0,0.5493370816409271,0.19484001616302465,Įrengtas ,3
2262,2262,private, Naujoji Vilnia, Genių g.,73000,70.0,1042.857142857143,4,0.4,2,5,1969,90.0,70.0,60.0,230.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,52,"Vilnius, Genių g.",54.687870499999995,tier4,25.421574600000003,0.0,0.0,0.0,1.0,0.0,1.937070086839333,-0.1041007816775001,Įrengtas ,3
2263,2263,private, Naujamiestis, K. Kalinausko g.,650000,93.0,6989.247311827957,3,1.0,6,6,2011,260.0,140.0,350.0,100.0,8.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,"Vilnius, K. Kalinausko g.",54.6825277,tier2,25.271281899999998,0.0,1.0,0.0,0.0,0.0,0.1587973527967014,-0.1936097929140748,Įrengtas ,3
2264,2264,private, Lazdynai, Žėručio g.,50000,32.89,1520.2189115232593,1,1.0,5,5,1969,210.0,120.0,250.0,170.0,7.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,52,"Vilnius, Žėručio g.",54.6770044,tier3,25.209463600000003,0.0,0.0,1.0,0.0,0.0,-0.5726406834809975,-0.2861427572329493,Įrengtas ,3
2265,2265,private, Senamiestis, K. Sirvydo g.,143000,41.36,3457.4468085106373,2,0.5,2,4,2020,520.0,240.0,310.0,180.0,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Vilnius, K. Sirvydo g.",54.68681850000001,tier1,25.283124100000002,1.0,0.0,0.0,0.0,0.0,0.2989150123441982,-0.12172515088858442,Įrengtas ,3
2266,2266,private, Antakalnis, Antakalnio g.,129000,68.64,1879.3706293706293,3,0.16666666666666666,2,12,2017,190.0,180.0,190.0,30.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,"Vilnius, Antakalnio g.",54.720775,tier2,25.317983399999996,0.0,1.0,0.0,0.0,0.0,0.7113724551728562,0.44715497564700013,Įrengtas ,3
2267,2267,private, Naujoji Vilnia, Pramonės g.,14300,18.0,794.4444444444445,1,1.0,5,5,1980,100.0,1200.0,1200.0,170.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,41,"Vilnius, Pramonės g.",54.695812600000004,tier4,25.434560600000005,0.0,0.0,0.0,1.0,0.0,2.0907212603446372,0.028954829264574062,Įrengtas ,3
2268,2268,private, Pašilaičiai, Gabijos g.,56000,35.34,1584.6066779852856,1,0.4,2,5,1987,200.0,340.0,210.0,70.0,5.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,34,"Vilnius, Gabijos g.",54.731314600000005,tier3,25.2236397,0.0,0.0,1.0,0.0,0.0,-0.4049081714889809,0.6237270305298879,Įrengtas ,3
2269,2269,private, Karoliniškės, Igno Šimulionio g.,125000,48.77,2563.051055977035,2,1.0,4,4,2013,340.0,110.0,270.0,400.0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,"Vilnius, Igno Šimulionio g.",54.695588,tier3,25.2275561,0.0,0.0,1.0,0.0,0.0,-0.3585690789342054,0.025192059944490072,Įrengtas ,3
2270,2270,private, Valakampiai, Svajonių g.,209000,131.0,1595.4198473282447,4,0.3333333333333333,1,3,2004,1300.0,1200.0,1200.0,180.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,17,"Vilnius, Svajonių g.",54.7426069,tier2,25.3069111,0.0,1.0,0.0,0.0,0.0,0.5803643011298587,0.8129092210641861,Įrengtas ,3
