,title,price,area,room_n,floor_n,floor_total,year,building_type,heating_type,equip_state,nearest_kindergarten,nearest_school,nearest_shop,nearest_station,crime_last_month,owner_type,district,street
1463,"Vilnius, Lazdynėliai, Lazdynėlių g., 3 kambarių butas",109 000 ,"64,75 ",3,3,4,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,340,"1,5k","1,6k",150,1.0,company, Lazdynėliai, Lazdynėlių g.
1464,"Vilnius, Lazdynėliai, Lazdynėlių g., 2 kambarių butas",73 000 ,"41,93 ",2,3,4,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,390,"1,6k","1,7k",200,1.0,company, Lazdynėliai, Lazdynėlių g.
1465,"Vilnius, Lazdynai, Kazimiero Jelskio g., 2 kambarių butas",179 000 ,"53,35 ",2,1,4,2018,Monolitinis,Centrinis kolektorinis,Dalinė apdaila ,220,450,580,540,1.0,company, Lazdynai, Kazimiero Jelskio g.
1466,"Vilnius, Fabijoniškės, P. Žadeikos g., 4 kambarių butas",109 999 ,"88,15 ",4,8,13,1993,Monolitinis,Centrinis,Įrengtas ,400,200,160,90,2.0,company, Fabijoniškės, P. Žadeikos g.
1467,"Vilnius, Pašilaičiai, Pavilnionių g., 2 kambarių butas",79 900 ,"38,75 ",2,4,5,2019,Mūrinis,Centrinis kolektorinis,Įrengtas ,130,700,320,40,0.0,company, Pašilaičiai, Pavilnionių g.
1468,"Vilnius, Antakalnis, Žirgo g., 3 kambarių butas",93 000 ,70 ,3,2,2,2018,Mūrinis,Dujinis,Dalinė apdaila ,"1,1k",630,770,600,0.0,company, Antakalnis, Žirgo g.
1469,"Vilnius, Pilaitė, Gilužio g., 3 kambarių butas",99 000 ,"60,35 ",3,2,3,2020,Mūrinis,Dujinis,Dalinė apdaila ,520,130,420,70,2.0,company, Pilaitė, Gilužio g.
1470,"Vilnius, Antakalnis, Filaretų g., 3 kambarių butas",99 000 ,"107,72 ",3,4,4,1998,Mūrinis,Dujinis,Įrengtas ,260,350,420,360,1.0,company, Antakalnis, Filaretų g.
1471,"Vilnius, Žirmūnai, Raitininkų g., 2 kambarių butas",130 000 ,"51,7 ",2,6,7,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,390,430,470,230,5.0,company, Žirmūnai, Raitininkų g.
1472,"Vilnius, Antakalnis, Rato g., 2 kambarių butas",118 000 ,"42,04 ",2,1,3,2019,Mūrinis,Dujinis,Įrengtas ,560,460,570,130,0.0,company, Antakalnis, Rato g.
1473,"Vilnius, Naujamiestis, Švitrigailos g., 1 kambario butas",43 500 ,17 ,1,4,4,1940,Mūrinis,Centrinis,Įrengtas ,300,230,380,140,14.0,company, Naujamiestis, Švitrigailos g.
1474,"Vilnius, Senamiestis, Labdarių g., 5 kambarių butas",630 000 ,"157,9 ",5,5,5,2009 renovacija,Mūrinis,Centrinis kolektorinis,Įrengtas ,180,470,140,150,21.0,company, Senamiestis, Labdarių g.
1475,"Vilnius, Naujamiestis, T. Ševčenkos g., 2 kambarių butas",149 000 ,84 ,2,2,6,2019,Mūrinis,Dujinis,Įrengtas ,270,130,300,120,14.0,company, Naujamiestis, T. Ševčenkos g.
1476,"Vilnius, Rasos, Birbynių g., 3 kambarių butas",75 000 ,"50,7 ",3,2,2,1960,Mūrinis,Dujinis,Neįrengtas ,340,340,770,470,1.0,company, Rasos, Birbynių g.
1477,"Vilnius, Šeškinė, Dūkštų g., 2 kambarių butas",63 000 ,"50,35 ",2,6,9,1980,Blokinis,Centrinis,Įrengtas ,180,390,60,130,0.0,company, Šeškinė, Dūkštų g.
1478,"Vilnius, Jeruzalė, Didlaukio g., 1 kambario butas",63 900 ,"40,16 ",1,2,6,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,80,170,690,240,0.0,company, Jeruzalė, Didlaukio g.
1479,"Vilnius, Pašilaičiai, Perkūnkiemio g., 3 kambarių butas",99 000 ,"57,18 ",3,9,9,2009,Mūrinis,Centrinis kolektorinis,Įrengtas ,160,760,140,170,3.0,company, Pašilaičiai, Perkūnkiemio g.
1480,"Vilnius, Valakampiai, Balžio g., 3 kambarių butas",220 000 ,119 ,3,2,2,2018,Mūrinis,Geoterminis,Įrengtas ,"4,9k","4,7k","6,1k",470,0.0,company, Valakampiai, Balžio g.
1481,"Vilnius, Naujamiestis, M. K. Čiurlionio g., 3 kambarių butas",144 000 ,"65,05 ",3,1,1,2005,Medinis,Dujinis,Įrengtas ,130,200,360,280,2.0,company, Naujamiestis, M. K. Čiurlionio g.
1482,"Vilnius, Naujamiestis, Brolių g., 3 kambarių butas",130 000 ,70 ,3,1,2,2013 renovacija,Mūrinis,Dujinis,Įrengtas ,70,100,280,400,7.0,company, Naujamiestis, Brolių g.
1483,"Vilnius, Antakalnis, Turniškių g., 2 kambarių butas",210 000 ,61 ,2,2,3,2017,Monolitinis,Geoterminis,Įrengtas ,"1,5k","2,3k","1,6k",890,0.0,company, Antakalnis, Turniškių g.
1484,"Vilnius, Šnipiškės, Giedraičių g., 4 kambarių butas",215 000 ,95 ,4,4,4,2019,Blokinis,Centrinis kolektorinis,Dalinė apdaila ,180,350,260,290,2.0,company, Šnipiškės, Giedraičių g.
1485,"Vilnius, Lazdynai, Kazimiero Jelskio g., 2 kambarių butas",300 000 ,"107,4 ",2,4,4,2018,Monolitinis,Centrinis kolektorinis,Dalinė apdaila ,210,480,610,560,1.0,company, Lazdynai, Kazimiero Jelskio g.
1486,"Vilnius, Šnipiškės, Giedraičių g., 2 kambarių butas",79 000 ,"41,39 ",2,2,4,2019,Blokinis,Centrinis kolektorinis,Dalinė apdaila ,180,350,260,290,2.0,company, Šnipiškės, Giedraičių g.
1487,"Vilnius, Justiniškės, Rygos g., 3 kambarių butas",83 000 ,"67,2 ",3,3,9,1983,Blokinis,Centrinis,Įrengtas ,270,400,40,150,2.0,company, Justiniškės, Rygos g.
1488,"Vilnius, Senamiestis, Gedimino pr., 3 kambarių butas",380 000 ,"81,56 ",3,3,5,1958,Mūrinis,Centrinis,Įrengtas ,160,140,20,130,1.0,company, Senamiestis, Gedimino pr.
1489,"Vilnius, Užupis, Olandų g., 2 kambarių butas",87 000 ,"33,3 ",2,2,6,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,320,240,140,40,3.0,company, Užupis, Olandų g.
1490,"Vilnius, Senamiestis, Šv. Mykolo g., 5 kambarių butas",495 000 ,170 ,5,2,2,1940,Mūrinis,Dujinis,Įrengtas ,540,120,90,180,9.0,company, Senamiestis, Šv. Mykolo g.
1491,"Vilnius, Šnipiškės, Linkmenų g., 4 kambarių butas",130 700 ,"79,86 ",4,1,9,2019,Blokinis,Centrinis,Dalinė apdaila ,460,230,380,340,5.0,company, Šnipiškės, Linkmenų g.
1492,"Vilnius, Šnipiškės, Linkmenų g., 3 kambarių butas",110 900 ,"58,36 ",3,7,9,2019,Blokinis,Centrinis kolektorinis,Dalinė apdaila ,460,230,380,340,5.0,company, Šnipiškės, Linkmenų g.
1493,"Vilnius, Naujoji Vilnia, Pergalės g., 1 kambario butas",16 000 ,16 ,1,4,4,1967,Mūrinis,Centrinis,Įrengtas ,170,310,350,160,3.0,company, Naujoji Vilnia, Pergalės g.
1494,"Vilnius, Šnipiškės, Giedraičių g., 1 kambario butas",75 000 ,"32,05 ",1,8,10,2019,Mūrinis,Centrinis kolektorinis,Įrengtas ,220,500,260,190,5.0,company, Šnipiškės, Giedraičių g.
1495,"Vilnius, Šnipiškės, Kalvarijų g., 3 kambarių butas",175 000 ,"76,31 ",3,6,7,2007,Mūrinis,Centrinis kolektorinis,Įrengtas ,80,100,200,150,5.0,company, Šnipiškės, Kalvarijų g.
1496,"Vilnius, Šeškinė, Musninkų g., 1 kambario butas",56 000 ,36 ,1,1,5,1980,Blokinis,Centrinis,Įrengtas ,120,410,220,80,3.0,company, Šeškinė, Musninkų g.
1497,"Vilnius, Užupis, Olandų g., 2 kambarių butas",110 000 ,"45,9 ",2,3,5,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,320,240,140,40,3.0,company, Užupis, Olandų g.
1498,"Vilnius, Justiniškės, Taikos g., 3 kambarių butas",83 000 ,67 ,3,3,5,1983,Blokinis,Centrinis,Įrengtas ,290,380,330,90,2.0,company, Justiniškės, Taikos g.
1499,"Vilnius, Antakalnis, Svajonių g., 2 kambarių butas",139 000 ,75 ,2,1,3,2000,Mūrinis,Centrinis kolektorinis,Įrengtas ,"1,7k","1,6k","1,6k",30,0.0,company, Antakalnis, Svajonių g.
1500,"Vilnius, Šnipiškės, Kintų g., 4 kambarių butas",150 000 ,"75,5 ",4,5,6,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,270,510,430,330,2.0,company, Šnipiškės, Kintų g.
1501,"Vilnius, Naujamiestis, S. Konarskio g., 2 kambarių butas",130 000 ,52 ,2,2,9,2012,Mūrinis,"Centrinis, centrinis kolektorinis",Įrengtas ,210,100,100,180,7.0,company, Naujamiestis, S. Konarskio g.
1502,"Vilnius, Žirmūnai, Trinapolio g., 2 kambarių butas",98 300 ,"53,72 ",2,9,9,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,80,310,280,290,2.0,company, Žirmūnai, Trinapolio g.
1503,"Vilnius, Grigiškės, Kovo 11-osios g., 3 kambarių butas",89 000 ,"79,04 ",3,3,5,1971,Mūrinis,Dujinis,Įrengtas ,120,150,120,60,4.0,company, Grigiškės, Kovo 11-osios g.
1504,,118 134 ,"46,21 ",2,1,6,2019,Monolitinis,Centrinis kolektorinis,Įrengtas ,240,760,350,320,1.0,company,,
1505,"Vilnius, Užupis, Manufaktūrų g., 3 kambarių butas",181 425 ,"65,17 ",3,2,6,2019,Monolitinis,Centrinis kolektorinis,Įrengtas ,240,760,350,320,1.0,company, Užupis, Manufaktūrų g.
1506,"Vilnius, Žirmūnai, Tuskulėnų g., 1 kambario butas",63 000 ,37 ,1,2,5,1969,Blokinis,Centrinis,Įrengtas ,130,240,150,40,4.0,company, Žirmūnai, Tuskulėnų g.
